function	SRR1397196	SRR1397407	SRR1397265	SRR1397339
K14056	50.0	134.25	56.0	219.25
K14057	50.0	128.25	56.0	217.75
K14058	2744.18	5510.25	3414.5	9708.74
K14059	324.33	2442.91	543.75	1600.08
K14061	0.0	0.25	0.0	2.75
K14062	50.0	128.25	56.0	217.75
K14063	55.0	167.75	82.0	239.5
K14064	50.0	128.25	56.0	217.75
K14067	10.0	0.0	16.6	22.5
K14080	0.0	210.0	0.0	93.0
K14081	0.0	210.0	0.0	93.0
K14082	0.0	70.0	0.0	31.0
K14083	596.0	1611.0	597.0	5477.0
K14084	2.0	182.0	7.0	68.0
K14086	3.0	168.0	8.0	22.0
K14087	3.0	158.0	8.0	22.0
K14088	3.0	168.0	8.0	22.0
K14089	3.0	42.0	0.0	3.0
K14090	0.0	126.0	8.0	19.0
K14091	3.0	36.5	0.0	4.0
K14126	3.0	0.0	0.0	51.0
K14127	21.0	4.0	2.0	393.0
K14128	3.0	0.0	0.0	51.0
K14136	92.0	203.83	91.5	388.0
K14138	60.0	51.0	13.0	416.0
K14153	173.0	822.83	285.0	1134.0
K14155	1994.8	9328.65	2112.67	19646.4
K14157	0.0	4.0	0.0	36.0
K14159	28.0	50.0	84.0	40.0
K14160	1249.79	2145.8900000000003	2244.55	6798.459999999999
K14161	1823.79	4252.72	3294.05	8626.54
K14162	2238.79	4345.22	3928.55	9208.04
K14164	74.0	42.0	22.0	3625.0
K14165	0.0	0.0	0.0	29.0
K14166	52.44	283.72	101.45	417.55
K14170	2262.43	5597.25	2309.5	7152.49
K14187	320.0	592.75	456.5	943.75
K14188	64.6	283.7	108.2	368.2
K14189	182.44	40.22	311.95000000000005	252.55
K14205	684.6	1125.2	1247.47	4581.04
K14259	145.0	279.0	334.0	369.0
K14260	2226.68	4146.08	2272.0	6453.74
K14261	1320.69	5853.469999999999	2232.05	8160.299999999999
K14266	958.5	987.5	2016.0	2296.0
K14267	1934.1799999999998	3834.0	1834.5	6247.49
K14268	96.33	1139.33	189.0	425.83000000000004
K14287	655.35	3843.92	1103.0	8367.41
K14333	47.0	272.5	56.5	169.0
K14335	1170.27	1148.17	1479.5	970.0
K14337	95.67	204.5	112.5	388.0
K14338	47.0	275.0	100.0	335.0
K14339	92.0	203.83	91.5	388.0
K14347	1542.94	4630.3	2192.45	4804.88
K14348	80.0	537.75	170.5	320.75
K14392	463.0	739.75	503.0	1103.75
K14393	3506.51	11999.53	3831.87	17488.66
K14414	136.0	67.25	235.0	213.75
K14415	1169.35	1787.42	731.0	10359.91
K14440	0.0	8.0	0.0	3.0
K14441	3360.62	8393.470000000001	2978.05	25973.29
K14445	2141.58	4604.66	2677.5	7810.08
K14446	369.0	1310.5	740.1	3349.5
K14447	369.0	1310.5	740.1	3349.5
K14448	431.44	1463.72	1001.55	3988.0499999999997
K14449	381.75	1479.0	757.35	3574.5
K14451	169.5	404.0	146.0	1503.5
K14466	14.0	2.0	0.0	128.0
K14468	8.0	0.0	3.0	1.0
K14469	8.0	0.0	3.0	1.0
K14470	133.44	270.22	285.45	807.5500000000001
K14472	3.0	2.0	0.0	16.0
K14475	166.0	1190.5	168.0	5566.75
K14519	3046.44	1092.22	3693.95	2578.3
K14520	28.0	64.0	189.0	343.0
K14534	9.0	0.0	0.0	75.0
K14540	1986.45	3447.37	1931.47	8377.7
K14561	0.0	70.0	0.0	31.0
K14564	0.0	80.0	0.0	103.0
K14568	0.0	0.0	0.0	29.0
K14574	0.0	80.0	0.0	103.0
K14578	19.0	10.0	66.0	24.0
K14581	13.0	0.0	67.0	4.0
K14588	342.0	156.25	496.0	264.75
K14591	62.0	397.75	77.5	275.75
K14597	27.0	9.0	27.0	2208.0
K14623	0.0	15.75	1.5	25.25
K14629	0.0	6.0	0.0	8.0
K14640	9.0	16.0	5.0	706.0
K14645	517.6700000000001	873.67	963.0	6212.5
K14647	46.0	284.5	104.0	380.0
K14652	4824.54	13620.22	5465.32	24318.880000000005
K14654	0.0	90.0	0.0	103.0
K14656	0.0	80.0	0.0	103.0
